,Compound,Date,Negative,Neutral,Positive,Source,Text
82,0.0,2018-03-27 00:32:03,1.0,0.0,0.0,nytimes,"Investigators believe a man in Arizona was distributing performance-enhancing drugs on a massive, global scale, yet… https://t.co/oEHmWEZaWQ"
182,0.0,2018-03-27 00:32:03,1.0,0.0,0.0,nytimes,"Investigators believe a man in Arizona was distributing performance-enhancing drugs on a massive, global scale, yet… https://t.co/oEHmWEZaWQ"
150,0.4767,2018-03-27 00:35:04,0.838,0.0,0.162,CNN,Trump's approval rating is *this* close to Obama's and Reagan's | Analysis by CNN's Z. Byron Wolf… https://t.co/EL7FdNDYaC
50,0.4767,2018-03-27 00:35:04,0.838,0.0,0.162,CNN,Trump's approval rating is *this* close to Obama's and Reagan's | Analysis by CNN's Z. Byron Wolf… https://t.co/EL7FdNDYaC
163,-0.5574,2018-03-27 00:36:16,0.795,0.205,0.0,FoxNews,Work email ban after hours in New York City may become law (via @FoxBusiness) https://t.co/S3TpbZwEoU
63,-0.5574,2018-03-27 00:36:16,0.795,0.205,0.0,FoxNews,Work email ban after hours in New York City may become law (via @FoxBusiness) https://t.co/S3TpbZwEoU
49,-0.4019,2018-03-27 00:40:07,0.766,0.153,0.081,CNN,"A former NFL cheerleader, who was fired in part for an Instagram post that was deemed inappropriate, is alleging ge… https://t.co/qlohRXB1ml"
149,-0.4019,2018-03-27 00:40:07,0.766,0.153,0.081,CNN,"A former NFL cheerleader, who was fired in part for an Instagram post that was deemed inappropriate, is alleging ge… https://t.co/qlohRXB1ml"
148,0.4019,2018-03-27 00:45:05,0.803,0.0,0.197,CNN,"Arianna Huffington wants to help fix our ""culture of burnout"" https://t.co/DVjrNGcZWt https://t.co/rLd8rueFVp"
48,0.4019,2018-03-27 00:45:05,0.803,0.0,0.197,CNN,"Arianna Huffington wants to help fix our ""culture of burnout"" https://t.co/DVjrNGcZWt https://t.co/rLd8rueFVp"
81,-0.2023,2018-03-27 00:47:04,0.766,0.131,0.102,nytimes,President Trump has stayed in touch with Rob Porter and has told some advisers he hopes Porter returns to work in t… https://t.co/1be8txo0YB
181,-0.2023,2018-03-27 00:47:04,0.766,0.131,0.102,nytimes,President Trump has stayed in touch with Rob Porter and has told some advisers he hopes Porter returns to work in t… https://t.co/1be8txo0YB
147,0.3182,2018-03-27 00:50:03,0.897,0.0,0.103,CNN,"Most people don't think the ""law and order"" president respects the rule of law | Analysis by CNN's Gregory Krieg an… https://t.co/ivKsF9ynqh"
47,0.3182,2018-03-27 00:50:03,0.897,0.0,0.103,CNN,"Most people don't think the ""law and order"" president respects the rule of law | Analysis by CNN's Gregory Krieg an… https://t.co/ivKsF9ynqh"
46,0.0,2018-03-27 00:51:19,1.0,0.0,0.0,CNN,"RT @OutFrontCNN: After Sunday evening's wide-ranging and detailed interview on 60 Minutes, the President may need to hunker down - his 60 d…"
146,0.0,2018-03-27 00:51:19,1.0,0.0,0.0,CNN,"RT @OutFrontCNN: After Sunday evening's wide-ranging and detailed interview on 60 Minutes, the President may need to hunker down - his 60 d…"
62,0.0,2018-03-27 00:51:59,1.0,0.0,0.0,FoxNews,"Roger McNamee: “I think all of Silicon Valley needs to reassess why it’s in business, and recognize that they can b… https://t.co/PDSf2NLJNf"
162,0.0,2018-03-27 00:51:59,1.0,0.0,0.0,FoxNews,"Roger McNamee: “I think all of Silicon Valley needs to reassess why it’s in business, and recognize that they can b… https://t.co/PDSf2NLJNf"
145,-0.0258,2018-03-27 00:55:04,0.939,0.061,0.0,CNN,A former Obama White House official says the US government could have thwarted a Russian troll group's attempts to… https://t.co/9WOOoArQUR
45,-0.0258,2018-03-27 00:55:04,0.939,0.061,0.0,CNN,A former Obama White House official says the US government could have thwarted a Russian troll group's attempts to… https://t.co/9WOOoArQUR
44,0.4215,2018-03-27 01:00:25,0.833,0.0,0.167,CNN,"Bill Gates tells Nigerian leaders to ""face facts"" so they can make progress https://t.co/K245VTHQnl https://t.co/wqa0Ra2lck"
144,0.4215,2018-03-27 01:00:25,0.833,0.0,0.167,CNN,"Bill Gates tells Nigerian leaders to ""face facts"" so they can make progress https://t.co/K245VTHQnl https://t.co/wqa0Ra2lck"
180,0.0,2018-03-27 01:02:07,1.0,0.0,0.0,nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/PGHd4PlLBN
80,0.0,2018-03-27 01:02:07,1.0,0.0,0.0,nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/PGHd4PlLBN
43,0.0,2018-03-27 01:05:05,1.0,0.0,0.0,CNN,"In her first trip to New York's capital since announcing her mayoral campaign, actress Cynthia Nixon referred to Go… https://t.co/ucdHObQglE"
143,0.0,2018-03-27 01:05:05,1.0,0.0,0.0,CNN,"In her first trip to New York's capital since announcing her mayoral campaign, actress Cynthia Nixon referred to Go… https://t.co/ucdHObQglE"
142,0.0,2018-03-27 01:10:02,1.0,0.0,0.0,CNN,"""For every article about Facebook's creepy stalker behavior, thousands of other companies are breathing a collectiv… https://t.co/I73hKkxFSS"
42,0.0,2018-03-27 01:10:02,1.0,0.0,0.0,CNN,"""For every article about Facebook's creepy stalker behavior, thousands of other companies are breathing a collectiv… https://t.co/I73hKkxFSS"
161,0.4019,2018-03-27 01:10:24,0.691,0.115,0.194,FoxNews,.@GarySinise talks new initiative for children of fallen vets: 'The cost of freedom is very high' https://t.co/YGP74TbKiJ
61,0.4019,2018-03-27 01:10:24,0.691,0.115,0.194,FoxNews,.@GarySinise talks new initiative for children of fallen vets: 'The cost of freedom is very high' https://t.co/YGP74TbKiJ
141,-0.6597,2018-03-27 01:15:07,0.5,0.372,0.128,CNN,The Dow surges 669 points as trade war fears cool https://t.co/RjL3HozLCy https://t.co/T2qnWB0x03
41,-0.6597,2018-03-27 01:15:07,0.5,0.372,0.128,CNN,The Dow surges 669 points as trade war fears cool https://t.co/RjL3HozLCy https://t.co/T2qnWB0x03
140,-0.2732,2018-03-27 01:20:05,0.884,0.116,0.0,CNN,"Democratic Sen. Bob Menendez warned that Interior Secretary Ryan Zinke is moving toward a ""lily-white"" agency with… https://t.co/uOCj7JrVtc"
40,-0.2732,2018-03-27 01:20:05,0.884,0.116,0.0,CNN,"Democratic Sen. Bob Menendez warned that Interior Secretary Ryan Zinke is moving toward a ""lily-white"" agency with… https://t.co/uOCj7JrVtc"
60,0.0,2018-03-27 01:20:29,1.0,0.0,0.0,FoxNews,"QUARRELING KOALAS: These two male koalas were caught wrestling in Australia, reportedly, over a female koala just o… https://t.co/P64M0YKYFn"
160,0.0,2018-03-27 01:20:29,1.0,0.0,0.0,FoxNews,"QUARRELING KOALAS: These two male koalas were caught wrestling in Australia, reportedly, over a female koala just o… https://t.co/P64M0YKYFn"
